index	fil	words	percentage
sme	40	3395	1.17820324005891
spa	980	58883	1.66431737513374
sqi	48	1484	3.23450134770889
srd	20	626	3.19488817891374
srn	27	176	15.3409090909091
stq	24	716	3.35195530726257
swe	55	3870	1.42118863049096
syc	51	6183	0.824842309558467
syl	19	230	8.26086956521739
tam	28	3786	0.739566825145272
tby	9	106	8.49056603773585
tel	16	450	3.55555555555556
tgk	5	150	3.33333333333333
tgl	482	8535	5.6473345049795
tha	437	15657	2.7910838602542
ton	25	161	15.527950310559
tpw	17	163	10.4294478527607
tuk	1	111	0.900900900900901
tur	100	3591	2.78473962684489
twf	18	135	13.3333333333333
tyv	21	495	4.24242424242424
tzm	59	686	8.60058309037901
uig	20	270	7.40740740740741
ukr	44	10563	0.41654832907318
urd	1	1743	0.057372346528973
urk	95	568	16.7253521126761
vie	928	53056	1.74909529553679
vol	17	383	4.43864229765013
wau	23	152	15.1315789473684
wiy	12	151	7.94701986754967
wlm	2	147	1.36054421768707
ybi	14	136	10.2941176470588
ycl	4	109	3.6697247706422
yid	21	1828	1.14879649890591
yor	157	2636	5.95599393019727
yue	559	87378	0.639749135938108
yux	7	140	5
zha	111	1247	8.90136327185245
zom	28	143	19.5804195804196
zul	3	1733	0.173110213502597
zza	13	190	6.8421052631579
